index,crim_Mguard_percent,crim_Sguard_percent,init_call_delay
0,25,25,1
1,25,25,3
2,25,25,6
3,25,50,1
4,25,50,3
5,25,50,6
6,25,75,1
7,25,75,3
8,25,75,6
9,25,100,1
10,25,100,3
11,25,100,6
12,50,25,1
13,50,25,3
14,50,25,6
15,50,50,1
16,50,50,3
17,50,50,6
18,50,75,1
19,50,75,3
20,50,75,6
21,50,100,1
22,50,100,3
23,50,100,6
24,75,25,1
25,75,25,3
26,75,25,6
27,75,50,1
28,75,50,3
29,75,50,6
30,75,75,1
31,75,75,3
32,75,75,6
33,75,100,1
34,75,100,3
35,75,100,6
36,100,25,1
37,100,25,3
38,100,25,6
39,100,50,1
40,100,50,3
41,100,50,6
42,100,75,1
43,100,75,3
44,100,75,6
45,100,100,1
46,100,100,3
47,100,100,6
